iter	Passed	Remaining
611	6336	4017
612	6347	4007
613	6357	3996
614	6367	3986
615	6376	3974
616	6385	3963
617	6394	3952
618	6404	3941
619	6415	3932
620	6426	3922
621	6435	3911
622	6445	3900
623	6454	3889
624	6464	3878
625	6474	3868
626	6484	3857
627	6493	3846
628	6503	3836
629	6513	3825
630	6522	3814
631	6532	3803
632	6542	3793
633	6552	3782
634	6562	3772
635	6572	3761
636	6583	3751
637	6595	3741
638	6604	3731
639	6615	3721
640	6625	3710
641	6636	3700
642	6646	3690
643	6656	3679
644	6666	3669
645	6678	3659
646	6689	3649
647	6699	3639
648	6709	3628
649	6718	3617
650	6727	3606
651	6737	3595
652	6746	3585
653	6758	3575
654	6767	3564
655	6781	3556
656	6792	3546
657	6801	3534
658	6811	3524
659	6821	3513
660	6831	3503
661	6839	3492
662	6848	3481
663	6858	3470
664	6867	3459
665	6879	3450
666	6889	3439
667	6899	3429
668	6908	3418
669	6919	3408
670	6929	3397
671	6939	3387
672	6950	3377
673	6959	3366
674	6969	3355
675	6979	3345
676	6991	3335
677	7002	3325
678	7010	3314
679	7019	3303
680	7027	3291
681	7037	3281
682	7048	3271
683	7060	3261
684	7070	3251
685	7079	3240
686	7088	3229
687	7097	3218
688	7109	3208
689	7120	3199
690	7130	3188
691	7140	3178
692	7149	3167
693	7158	3156
694	7168	3145
695	7178	3135
696	7188	3124
697	7196	3113
698	7205	3102
699	7215	3092
700	7226	3082
701	7236	3071
702	7244	3060
703	7253	3049
704	7262	3038
705	7271	3028
706	7279	3016
707	7296	3009
708	7305	2998
709	7315	2987
710	7324	2977
711	7332	2966
712	7344	2956
713	7355	2946
714	7364	2935
715	7373	2924
716	7382	2913
717	7392	2903
718	7402	2892
719	7411	2882
720	7422	2872
721	7433	2862
722	7443	2851
723	7453	2841
724	7464	2831
725	7474	2821
726	7485	2810
727	7494	2800
728	7504	2789
729	7515	2779
730	7527	2769
731	7537	2759
732	7550	2750
733	7561	2740
734	7572	2730
735	7585	2720
736	7596	2710
737	7606	2700
738	7616	2689
739	7626	2679
740	7639	2670
741	7649	2659
742	7661	2650
743	7672	2640
744	7682	2629
745	7691	2618
746	7702	2608
747	7713	2598
748	7722	2587
749	7733	2577
750	7745	2568
751	7757	2558
752	7770	2548
753	7779	2538
754	7789	2527
755	7799	2517
756	7811	2507
757	7821	2496
758	7830	2486
759	7841	2476
760	7852	2466
761	7862	2455
762	7872	2445
763	7882	2435
764	7891	2424
765	7903	2414
766	7914	2404
767	7926	2394
768	7937	2384
769	7947	2373
770	7957	2363
771	7967	2353
772	7977	2342
773	7989	2332
774	8002	2323
775	8013	2313
776	8023	2302
777	8033	2292
778	8045	2282
779	8055	2272
780	8066	2261
781	8077	2251
782	8087	2241
783	8098	2231
784	8109	2220
785	8118	2210
786	8129	2200
787	8141	2190
788	8151	2180
789	8162	2169
790	8177	2160
791	8186	2149
792	8196	2139
793	8207	2129
794	8219	2119
795	8235	2110
796	8246	2100
797	8257	2090
798	8267	2079
799	8278	2069
800	8289	2059
801	8298	2048
802	8309	2038
803	8321	2028
804	8331	2018
805	8342	2008
806	8352	1997
807	8364	1987
808	8375	1977
809	8385	1966
810	8396	1956
811	8409	1946
812	8419	1936
813	8429	1926
814	8441	1916
815	8452	1905
816	8463	1895
817	8475	1885
818	8484	1875
819	8494	1864
820	8505	1854
821	8514	1843
822	8525	1833
823	8535	1823
824	8544	1812
825	8553	1801
826	8563	1791
827	8573	1780
828	8585	1770
829	8595	1760
830	8604	1749
831	8613	1739
832	8623	1728
833	8632	1718
834	8644	1708
835	8654	1697
836	8666	1687
837	8675	1677
838	8684	1666
839	8695	1656
840	8706	1646
841	8716	1635
842	8726	1625
843	8738	1615
844	8748	1604
845	8761	1594
846	8772	1584
847	8782	1574
848	8793	1563
849	8804	1553
850	8816	1543
851	8827	1533
852	8837	1523
853	8846	1512
854	8857	1502
855	8868	1491
856	8883	1482
857	8893	1471
858	8905	1461
859	8916	1451
860	8934	1442
861	8943	1431
862	8951	1421
863	8961	1410
864	8970	1399
865	8980	1389
866	8991	1379
867	9002	1369
868	9013	1358
869	9023	1348
870	9032	1337
871	9040	1327
872	9052	1316
873	9063	1306
874	9077	1296
875	9089	1286
876	9099	1276
877	9110	1265
878	9118	1255
879	9130	1245
880	9140	1234
881	9151	1224
882	9162	1213
883	9173	1203
884	9183	1193
885	9191	1182
886	9199	1172
887	9208	1161
888	9217	1150
889	9228	1140
890	9237	1130
891	9247	1119
892	9256	1109
893	9266	1098
894	9275	1088
895	9288	1078
896	9299	1067
897	9309	1057
898	9318	1046
899	9328	1036
900	9336	1025
901	9347	1015
902	9357	1005
903	9367	994
904	9376	984
905	9385	973
906	9393	963
907	9405	952
908	9415	942
909	9426	932
910	9434	921
911	9443	911
912	9453	900
913	9465	890
914	9474	880
915	9483	869
916	9492	859
917	9502	848
918	9510	838
919	9521	827
920	9530	817
921	9542	807
922	9551	796
923	9560	786
924	9573	776
925	9583	765
926	9592	755
927	9602	745
928	9612	734
929	9621	724
930	9631	713
931	9641	703
932	9650	693
933	9660	682
934	9669	672
935	9679	661
936	9689	651
937	9698	641
938	9708	630
939	9718	620
940	9729	610
941	9740	599
942	9750	589
943	9760	578
944	9769	568
945	9777	558
946	9787	547
947	9797	537
948	9810	527
949	9820	516
950	9829	506
951	9838	496
952	9848	485
953	9859	475
954	9870	465
955	9879	454
956	9888	444
957	9898	433
958	9908	423
959	9920	413
960	9929	402
961	9938	392
962	9948	382
963	9957	371
964	9966	361
965	9975	351
966	9985	340
967	9994	330
968	10005	320
969	10014	309
970	10023	299
971	10034	289
972	10043	278
973	10054	268
974	10063	258
975	10073	247
976	10084	237
977	10095	227
978	10105	216
979	10115	206
980	10125	196
981	10133	185
982	10144	175
983	10157	165
984	10166	154
985	10178	144
986	10187	134
987	10197	123
988	10206	113
989	10216	103
990	10226	92
991	10234	82
992	10245	72
993	10257	61
994	10266	51
995	10276	41
996	10286	30
997	10297	20
998	10307	10
999	10316	0
